episode_id,scene_id,family,expected_sample,floor,round,ceil,peak_sample,peak_minus_expected,onset_sample,onset_minus_expected,current_error,expected_error,earliest_error,early4_error,early8_error,early16_error,direct_to_peak_amp_ratio,direct_to_peak_energy_ratio
clsdoa_v1_pilot_005_ep_000038,mp3d.82sE5b5pLXE,MP3D,268.9515039861374,268,269,269,340,71.04849601386258,306,37.048496013862575,39.21556716345151,122.40082146462582,47.10934895982134,48.77971793464012,47.75589990614228,45.59340048456176,2.7378854738913105e-08,6.75107281818306e-16
clsdoa_v1_pilot_005_ep_000039,mp3d.B6ByNegPMKs,MP3D,312.9226376928796,312,313,313,351,38.07736230712038,305,-7.9226376928796185,64.12278008941595,26.475055704767147,128.74195702994115,60.7553081625656,17.80220602671895,28.142606699461574,0.7724319696426392,0.060634154826402664
clsdoa_v1_pilot_005_ep_000040,mp3d.D7N2EKCX4Sj,MP3D,243.72102851348276,243,244,244,236,-7.721028513482764,236,-7.721028513482764,1.396751970386336,0.01915139839558412,0.016193360434221322,0.016193360434221322,0.0,0.018360413497223796,6.106580985942855e-05,3.727599562353134e-09
clsdoa_v1_pilot_005_ep_000041,mp3d.JmbYfDe2QKZ,MP3D,74.38478999489965,74,74,75,67,-7.3847899948996485,67,-7.3847899948996485,1.9090959104164224e-06,0.0,0.013687405188743266,0.0,0.0,0.013687405188743266,2.682082777027972e-05,7.191940376571893e-10
clsdoa_v1_pilot_005_ep_000042,mp3d.JF19kD82Mey,MP3D,138.06207010761696,138,138,139,131,-7.062070107616961,131,-7.062070107616961,5.0509930079323e-06,0.011107705272351371,0.0,0.0,0.01772070705950118,0.0,5.395300831878558e-05,2.9109370469626583e-09
clsdoa_v1_pilot_005_ep_000043,mp3d.QUCTc6BB5sX,MP3D,393.1412211131031,393,393,394,385,-8.141221113103086,385,-8.141221113103086,1.0900252224719401e-05,0.01312072792441728,0.0,0.007371044384094497,0.007056380774395574,0.0,9.466678602620959e-05,8.961055897316328e-09
clsdoa_v1_pilot_005_ep_000045,mp3d.S9hNv5qa7GM,MP3D,137.98282938744882,137,138,138,131,-6.982829387448817,131,-6.982829387448817,1.5509568494356516e-05,0.006562281310455369,0.0,0.004973729366326411,0.004973729366326411,0.004973729366326411,5.4566266044275835e-05,2.977075475030233e-09
clsdoa_v1_pilot_005_ep_000046,mp3d.JeFG25nYj2p,MP3D,231.45701026896276,231,231,232,295,63.54298973103724,286,54.54298973103724,58.92568768801007,138.52486312316125,59.61742480763583,58.83986502647962,59.05001541071173,63.09182263134636,3.321625641206083e-08,5.340032395087643e-16
clsdoa_v1_pilot_005_ep_000047,mp3d.PX4nDJXEHrG,MP3D,92.4257731679345,92,92,93,85,-7.425773167934494,85,-7.425773167934494,7.491833340751661e-06,0.013551587068064672,0.0017932945876181004,0.008801414634345344,0.008049340633810713,0.011791559680035965,3.6326204281067476e-05,1.3198073745002148e-09
clsdoa_v1_pilot_005_ep_000048,mp3d.TbHJrupSAjP,MP3D,135.5688515942384,135,136,136,199,63.431148405761604,187,51.431148405761604,46.39686420141737,101.04684669916789,50.19256183748199,48.72120063780603,46.725948082050216,46.9681142610326,2.0505334319409485e-08,2.01492793062894e-16
clsdoa_v1_pilot_005_ep_000049,mp3d.YVUC4YcDtcY,MP3D,110.24499731156655,110,110,111,103,-7.24499731156655,103,-7.24499731156655,9.80911239371097e-06,0.0,0.0,0.0,0.0,0.0,4.2364041291875765e-05,1.794445925185073e-09
clsdoa_v1_pilot_005_ep_000050,mp3d.Pm6F8kyY3z2,MP3D,187.3422913903249,187,187,188,180,-7.3422913903249025,180,-7.3422913903249025,1.652062556306761,0.009476394782459053,0.0,0.0,0.0,0.0,7.226493471534923e-05,5.222649424041492e-09
clsdoa_v1_pilot_005_ep_000051,mp3d.YmJkqBEsHnH,MP3D,89.45675682788499,89,89,90,82,-7.456756827884988,82,-7.456756827884988,4.094554566467037e-06,0.015356171692913863,0.0,0.0,0.014023023342952553,0.0,3.3113930840045214e-05,1.096804869149537e-09
clsdoa_v1_pilot_005_ep_000052,mp3d.UwV83HsGsw3,MP3D,344.23484255737367,344,344,345,336,-8.234842557373668,336,-8.234842557373668,0.17790748000236406,0.022166143345627987,0.010604961021893162,0.010604961021893162,0.010604961021893162,0.010604961021893162,8.295509906020015e-05,6.881927028246082e-09
clsdoa_v1_pilot_005_ep_000053,mp3d.SN83YJsR3w2,MP3D,242.15736140161405,242,242,243,358,115.84263859838595,272,29.842638598385946,45.42473204728136,103.22003697197972,56.60464215881291,54.5271969139975,50.12724442936948,47.84044386268687,1.0063460287312864e-08,5.471919196918731e-17
